row_id,fixture_id,gameweek,team,team_short,opponent,opponent_short,venue,official_fdr,goals_for,goals_against,goal_difference,xg,xga,xg_difference,global_gd_quintile,global_xgd_quintile,team_gd_quintile,team_xgd_quintile,pre_match_xg_baseline,xg_factor_vs_team_median,defensive_factor_vs_team_median
177:14,177,18,Man Utd,MUN,Newcastle,NEW,H,3,1,0,1,1.27,1.18,0.09000000000000008,2,3,2,3,1.7531550802139038,0.8193548387096774,0.9703389830508475
177:15,177,18,Newcastle,NEW,Man Utd,MUN,A,4,0,1,-1,1.18,1.27,-0.09000000000000008,4,3,4,4,1.382245989304813,0.8054607508532423,1.031496062992126
178:16,178,18,Nott'm Forest,NFO,Man City,MCI,H,4,1,2,-1,0.59,1.39,-0.7999999999999999,4,4,4,4,1.2249732620320855,0.5363636363636363,1.050359712230216
178:13,178,18,Man City,MCI,Nott'm Forest,NFO,A,3,2,1,1,1.39,0.59,0.7999999999999999,2,2,3,3,1.8167914438502673,0.6898263027295286,1.6610169491525424
171:1,171,18,Arsenal,ARS,Brighton,BHA,H,3,2,1,1,2.8,0.8,1.9999999999999998,2,1,3,1,1.620427807486631,1.5864022662889516,0.7062499999999999
171:6,171,18,Brighton,BHA,Arsenal,ARS,A,5,1,2,-1,0.8,2.8,-1.9999999999999998,4,5,4,5,1.5177005347593584,0.5536332179930796,0.42142857142857143
172:5,172,18,Brentford,BRE,Bournemouth,BOU,H,3,4,1,3,3.46,2.39,1.0699999999999998,1,1,1,2,1.4081550802139038,2.2838283828382835,0.5543933054393306
172:4,172,18,Bournemouth,BOU,Brentford,BRE,A,3,1,4,-3,2.39,3.46,-1.0699999999999998,5,5,5,5,1.4254278074866311,1.49375,0.3872832369942197
173:3,173,18,Burnley,BUR,Everton,EVE,H,3,0,0,0,1.65,0.88,0.7699999999999999,3,2,1,1,0.9908823529411763,1.9075144508670518,2.272727272727273
173:9,173,18,Everton,EVE,Burnley,BUR,A,2,0,0,0,0.88,1.65,-0.7699999999999999,3,4,3,4,1.197245989304813,0.8262910798122066,0.8727272727272728
176:12,176,18,Liverpool,LIV,Wolves,WOL,H,1,2,1,1,1.54,1.07,0.47,2,2,2,3,1.5258823529411765,0.9840255591054313,0.985981308411215
