fdr,matches,mean_goals_for,mean_goals_against,mean_goal_difference,mean_xg,mean_xga,mean_xg_difference,pooled_attack_factor_vs_team_median,pooled_defensive_factor_vs_team_median
1,38,2.1052631578947367,0.7368421052631579,1.368421052631579,1.8305263157894742,0.75,1.0805263157894738,1.4216787546181417,2.800810311978287
2,95,1.694736842105263,0.9789473684210527,0.7157894736842105,1.7086315789473687,1.0809473684210529,0.6276842105263156,1.292652493849717,1.710156244159722
3,456,1.394736842105263,1.3421052631578947,0.05263157894736842,1.4231578947368417,1.3944298245614026,0.028728070175438606,1.090849609372808,1.3326744586296335
4,133,1.0751879699248121,1.699248120300752,-0.6240601503759399,1.099248120300752,1.660300751879699,-0.5610526315789472,0.8556841394103396,1.0099364580304964
5,38,0.6578947368421053,2.263157894736842,-1.605263157894737,0.8405263157894738,1.8713157894736845,-1.0307894736842105,0.664413298441899,0.8668493928548094
