label,exact_matches,exact_match_pct,within_one,within_one_pct,mean_absolute_level_error,spearman
Global GD quintile,184,24.210526315789473,513,67.5,1.1157894736842104,0.3296507433173203
Global xGD quintile,189,24.86842105263158,539,70.92105263157895,1.0736842105263158,0.37966987136019803
Team-relative GD quintile,170,22.36842105263158,513,67.5,1.131578947368421,0.33035543771203246
Team-relative xGD quintile,191,25.13157894736842,537,70.65789473684211,1.0710526315789475,0.3926818270106058
